Entry	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
P9WJH3		NADH dehydrogenase (quinone) (non-electrogenic) activity [GO:0050136]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WJI1		4 iron, 4 sulfur cluster binding [GO:0051539]; ferredoxin-NADP+ reductase activity [GO:0004324]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	plasma membrane [GO:0005886]
P9WJJ5	NAD+ biosynthetic process [GO:0009435]	ATP binding [GO:0005524]; nicotinamide-nucleotide adenylyltransferase activity [GO:0000309]; nicotinate-nucleotide adenylyltransferase activity [GO:0004515]	
P9WJJ9	'de novo' NAD+ biosynthetic process from L-aspartate [GO:0034628]	L-aspartate oxidase activity [GO:0008734]; nucleotide binding [GO:0000166]; steroid dehydrogenase activity, acting on the CH-CH group of donors [GO:0033765]	cytoplasm [GO:0005737]
P9WJK1	'de novo' NAD+ biosynthetic process from L-aspartate [GO:0034628]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; quinolinate synthetase A activity [GO:0008987]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]
P9WJK5	propionate metabolic process, methylmalonyl pathway [GO:0019678]	cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methylmalonyl-CoA mutase activity [GO:0004494]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WJK7	lactate fermentation to propionate and acetate [GO:0019652]; propionate metabolic process, methylmalonyl pathway [GO:0019678]	cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methylmalonyl-CoA mutase activity [GO:0004494]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJK9	carbohydrate metabolic process [GO:0005975]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	glycosyltransferase activity [GO:0016757]; UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity [GO:0051991]; undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity [GO:0050511]	plasma membrane [GO:0005886]
P9WJL1	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ATP binding [GO:0005524]; UDP-N-acetylmuramoyl-tripeptide-D-alanyl-D-alanine ligase activity [GO:0047480]; UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase activity [GO:0008766]	cytoplasm [GO:0005737]
P9WJL5	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764]	cytosol [GO:0005829]
P9WJL7	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]	cytoplasm [GO:0005737]
P9WJL9	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; UDP-N-acetylmuramate dehydrogenase activity [GO:0008762]	cytosol [GO:0005829]
P9WJM3	L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; nucleoside metabolic process [GO:0009116]	adenosylhomocysteine nucleosidase activity [GO:0008782]; methylthioadenosine nucleosidase activity [GO:0008930]	cytosol [GO:0005829]
P9WJN7	iron-sulfur cluster assembly [GO:0016226]	4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent FeS chaperone activity [GO:0140663]; metal ion binding [GO:0046872]	
P9WJP1	rRNA base methylation [GO:0070475]	rRNA (cytosine-N4-)-methyltransferase activity [GO:0071424]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WJP3	menaquinone biosynthetic process [GO:0009234]; peptide metabolic process [GO:0006518]	magnesium ion binding [GO:0000287]; O-succinylbenzoate synthase activity [GO:0043748]; racemase and epimerase activity [GO:0016854]	
P9WJQ7	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	metal ion binding [GO:0046872]; molybdopterin molybdotransferase activity [GO:0061599]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WJQ9	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	GTP binding [GO:0005525]; metal ion binding [GO:0046872]; molybdenum cofactor guanylyltransferase activity [GO:0061603]; nucleotidyltransferase activity [GO:0016779]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WJR1	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	molybdopterin synthase activity [GO:0030366]	cytosol [GO:0005829]
P9WJR3	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	molybdopterin synthase activity [GO:0030366]	cytosol [GO:0005829]
P9WJR5	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	cyclic pyranopterin monophosphate synthase activity [GO:0061799]	
P9WJR7	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	cyclic pyranopterin monophosphate synthase activity [GO:0061799]	
P9WJS1	Mo-molybdopterin cofactor biosynthetic process [GO:0006777]	4 iron, 4 sulfur cluster binding [GO:0051539]; cyclic pyranopterin monophosphate synthase activity [GO:0061799]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]	peptidoglycan-based cell wall [GO:0009274]
P9WJS5	tRNA wobble position uridine thiolation [GO:0002143]	ATP binding [GO:0005524]; tRNA binding [GO:0000049]; tRNA-uridine 2-sulfurtransferase activity [GO:0103016]	cytoplasm [GO:0005737]
P9WJS9			plasma membrane [GO:0005886]
P9WJT9			cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJU1	lipid transport [GO:0006869]		cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJV1			cytosol [GO:0005829]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WJV3			extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WJW1	tRNA modification [GO:0006400]	ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]	
P9WJW5	DNA alkylation repair [GO:0006307]; methylation [GO:0032259]; response to nitrosative stress [GO:0051409]	methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WJW9	response to antibiotic [GO:0046677]	transmembrane transporter activity [GO:0022857]	membrane [GO:0016020]; plasma membrane [GO:0005886]
P9WJX3	response to antibiotic [GO:0046677]; transmembrane transport [GO:0055085]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	efflux transmembrane transporter activity [GO:0015562]; transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]
P9WJX7	response to antibiotic [GO:0046677]; transmembrane transport [GO:0055085]	transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]
P9WJX9	response to antibiotic [GO:0046677]	efflux transmembrane transporter activity [GO:0015562]	plasma membrane [GO:0005886]
P9WJY9	methionine biosynthetic process [GO:0009086]	homoserine O-acetyltransferase activity [GO:0004414]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WK05	tRNA methylthiolation [GO:0035600]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; tRNA-2-methylthio-N(6)-dimethylallyladenosine(37) synthase activity [GO:0035597]	cytosol [GO:0005829]
P9WK07	methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WK11	menaquinone biosynthetic process [GO:0009234]	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity [GO:0070204]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; thiamine pyrophosphate binding [GO:0030976]	plasma membrane [GO:0005886]
P9WK13	carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]; oxaloacetate metabolic process [GO:0006107]; tricarboxylic acid cycle [GO:0006099]	L-malate dehydrogenase (NAD+) activity [GO:0030060]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WK25	malate metabolic process [GO:0006108]	malate dehydrogenase (decarboxylating) (NAD+) activity [GO:0004471]; malic enzyme activity [GO:0004470]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; oxaloacetate decarboxylase activity [GO:0008948]	cytosol [GO:0005829]
P9WK27	nucleotide metabolic process [GO:0009117]	nucleoside triphosphate diphosphatase activity [GO:0047429]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]
P9WK35	riboflavin biosynthetic process [GO:0009231]	riboflavin synthase activity [GO:0004746]	
P9WK37			extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WK55		lipid binding [GO:0008289]; receptor ligand activity [GO:0048018]	extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WK73			cell surface [GO:0009986]; plasma membrane [GO:0005886]
P9WK85	biological process involved in interaction with host [GO:0051701]; response to acidic pH [GO:0010447]	triacylglycerol lipase activity [GO:0004806]	plasma membrane [GO:0005886]
P9WK93	lipoprotein biosynthetic process [GO:0042158]	phosphatidylglycerol-prolipoprotein diacylglyceryl transferase activity [GO:0008961]	plasma membrane [GO:0005886]
P9WK95	L-leucine biosynthetic process [GO:0009098]	3-isopropylmalate dehydratase activity [GO:0003861]	3-isopropylmalate dehydratase complex [GO:0009316]; plasma membrane [GO:0005886]
P9WK97	positive regulation of translation [GO:0045727]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WK99	signal peptide processing [GO:0006465]	aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]	plasma membrane [GO:0005886]
P9WKA1	signal peptide processing [GO:0006465]	serine-type endopeptidase activity [GO:0004252]; signal peptidase activity [GO:0009003]	plasma membrane [GO:0005886]
P9WKA3	biological process involved in interaction with host [GO:0051701]; glycerol metabolic process [GO:0006071]; response to hypoxia [GO:0001666]; response to nitric oxide [GO:0071731]; triglyceride biosynthetic process [GO:0019432]	diacylglycerol O-acyltransferase activity [GO:0004144]; O-acyltransferase activity [GO:0008374]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WKB3	biological process involved in interaction with host [GO:0051701]; glycerol metabolic process [GO:0006071]; response to hypoxia [GO:0001666]; response to nitric oxide [GO:0071731]; triglyceride biosynthetic process [GO:0019432]	diacylglycerol O-acyltransferase activity [GO:0004144]; O-acyltransferase activity [GO:0008374]	plasma membrane [GO:0005886]
P9WKC1	biological process involved in interaction with host [GO:0051701]; glycerol metabolic process [GO:0006071]; response to hypoxia [GO:0001666]; response to nitric oxide [GO:0071731]; triglyceride biosynthetic process [GO:0019432]	diacylglycerol O-acyltransferase activity [GO:0004144]; O-acyltransferase activity [GO:0008374]	plasma membrane [GO:0005886]
P9WKD5		adenosine deaminase activity [GO:0004000]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]; S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]	peptidoglycan-based cell wall [GO:0009274]
P9WKF3	potassium ion transmembrane transport [GO:0071805]	P-type potassium transmembrane transporter activity [GO:0008556]; potassium ion binding [GO:0030955]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WKG3	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity (ferredoxin) [GO:0046429]; 4-hydroxy-3-methylbut-2-enyl-diphosphate synthase activity (flavodoxin) [GO:0141197]; iron ion binding [GO:0005506]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WKK1	translational initiation [GO:0006413]	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WKK5	dimethylallyl diphosphate biosynthetic process [GO:0050992]; isoprenoid biosynthetic process [GO:0008299]	isopentenyl-diphosphate delta-isomerase activity [GO:0004452]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
P9WKV1	regulation of gene expression [GO:0010468]	DNA binding [GO:0003677]	
P9WKW5			extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WL37	DNA recombination [GO:0006310]; transposition [GO:0032196]	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]
P9WLG1	sulfolipid biosynthetic process [GO:0046506]	sulfotransferase activity [GO:0008146]	
P9WLJ1	DNA damage response [GO:0006974]; DNA replication [GO:0006260]; nucleotide-excision repair [GO:0006289]	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]	cytosol [GO:0005829]; excinuclease repair complex [GO:0009380]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WLN1	response to antibiotic [GO:0046677]; response to hypoxia [GO:0001666]	ATP binding [GO:0005524]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WLP1	response to hypoxia [GO:0001666]	ATP binding [GO:0005524]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WLP7			
P9WLT1		ATP binding [GO:0005524]	bacterial nucleoid [GO:0043590]; plasma membrane [GO:0005886]
P9WLT7	biotin biosynthetic process [GO:0009102]; symbiont-mediated perturbation of host innate immune response [GO:0052167]	iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	
P9WLU3	detoxification [GO:0098754]; positive regulation of translation [GO:0045727]; response to host [GO:0075136]	toxin sequestering activity [GO:0097351]	
P9WM65	fatty acid metabolic process [GO:0006631]		
P9WMA9	negative regulation of translational elongation [GO:0045900]	ribosomal small subunit binding [GO:0043024]	cytosolic small ribosomal subunit [GO:0022627]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WMB9	regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	
P9WMC3	regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	
P9WMC9	regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	cytoplasm [GO:0005737]
P9WMD3	negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	cytoplasm [GO:0005737]
P9WME7	regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	cytosol [GO:0005829]
P9WMF1	response to antibiotic [GO:0046677]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
P9WMG5	negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]	cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	
P9WMH5	regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	cytosol [GO:0005829]
P9WMJ7	cellular response to superoxide [GO:0071451]; DNA damage response [GO:0006974]; protein folding [GO:0006457]; response to heat [GO:0009408]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]	cytosol [GO:0005829]; extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WML9	L-histidine biosynthetic process [GO:0000105]	imidazoleglycerol-phosphate dehydratase activity [GO:0004424]; metal ion binding [GO:0046872]	cytoplasm [GO:0005737]
P9WMM1	L-histidine biosynthetic process [GO:0000105]	glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]	imidazoleglycerol-phosphate synthase complex [GO:0009382]; peptidoglycan-based cell wall [GO:0009274]
P9WMM3	L-histidine biosynthetic process [GO:0000105]	imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]	cytoplasm [GO:0005737]
P9WMM7	L-histidine biosynthetic process [GO:0000105]	magnesium ion binding [GO:0000287]; phosphoribosyl-AMP cyclohydrolase activity [GO:0004635]; phosphoribosyl-ATP diphosphatase activity [GO:0004636]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]
P9WMM9	L-histidine biosynthetic process [GO:0000105]; response to host iron concentration [GO:0075139]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phosphoribosyl-ATP diphosphatase activity [GO:0004636]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]
P9WMN9	protoporphyrinogen IX biosynthetic process [GO:0006782]	glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WMP1	heme biosynthetic process [GO:0006783]	oxidoreductase activity [GO:0016491]; oxygen-dependent protoporphyrinogen oxidase activity [GO:0004729]	cytoplasm [GO:0005737]
P9WMP3	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]	hydroxymethylbilane synthase activity [GO:0004418]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
P9WMP5	heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]	porphobilinogen synthase activity [GO:0004655]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]
P9WMP7	protoporphyrinogen IX biosynthetic process from glutamate [GO:0019353]	glutamyl-tRNA reductase activity [GO:0008883]; NADP binding [GO:0050661]	
P9WMQ9	DNA recombination [GO:0006310]; DNA replication initiation [GO:0006270]; DNA replication, synthesis of primer [GO:0006269]; double-strand break repair [GO:0006302]	3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]	plasma membrane [GO:0005886]; primosome complex [GO:1990077]
P9WMR1	nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay [GO:0070478]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; Ski complex [GO:0055087]
P9WMR9	halogenated hydrocarbon catabolic process [GO:0042206]	haloalkane dehalogenase activity [GO:0018786]; hydrolase activity [GO:0016787]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WMS1		haloalkane dehalogenase activity [GO:0018786]	extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]
P9WMS3		haloalkane dehalogenase activity [GO:0018786]; hydrolase activity [GO:0016787]	peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WMT5	cellular response to starvation [GO:0009267]; protein folding [GO:0006457]	adenyl-nucleotide exchange factor activity [GO:0000774]; protein homodimerization activity [GO:0042803]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]	cytoplasm [GO:0005737]; peptidoglycan-based cell wall [GO:0009274]
P9WMT9	DNA-templated transcription elongation [GO:0006354]; regulation of DNA-templated transcription elongation [GO:0032784]; response to antibiotic [GO:0046677]	DNA binding [GO:0003677]; RNA polymerase binding [GO:0070063]	cytosol [GO:0005829]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WMU3	glycerol metabolic process [GO:0006071]; lipid metabolic process [GO:0006629]	glycerophosphodiester phosphodiesterase activity [GO:0008889]; metal ion binding [GO:0046872]; phosphoric diester hydrolase activity [GO:0008081]	
P9WMU5	regulation of cell shape [GO:0008360]	LPPG:FO 2-phospho-L-lactate transferase activity [GO:0043743]	cytoplasm [GO:0005737]
P9WMV3	lipopolysaccharide biosynthetic process [GO:0009103]	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase activity [GO:0034200]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]
P9WMW7	cell division [GO:0051301]; cell wall macromolecule biosynthetic process [GO:0044038]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	metal ion binding [GO:0046872]; phospho-N-acetylmuramoyl-pentapeptide-transferase activity [GO:0008963]; phosphotransferase activity, for other substituted phosphate groups [GO:0016780]; UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity [GO:0051992]	plasma membrane [GO:0005886]
P9WMX7	glycolipid biosynthetic process [GO:0009247]	glycosyltransferase activity [GO:0016757]; hexosyltransferase activity [GO:0016758]	membrane [GO:0016020]
P9WMY5	glycolipid biosynthetic process [GO:0009247]; phosphatidylinositol metabolic process [GO:0046488]; phospholipid biosynthetic process [GO:0008654]	hexosyltransferase activity [GO:0016758]; mannosyltransferase activity [GO:0000030]	membrane [GO:0016020]
P9WMY9	glycogen biosynthetic process [GO:0005978]; lipopolysaccharide biosynthetic process [GO:0009103]	alpha-1,4-glucan glucosyltransferase (UDP-glucose donor) activity [GO:0004373]; glycosyltransferase activity [GO:0016757]	
P9WMZ7	capsule polysaccharide biosynthetic process [GO:0045227]; cell wall organization [GO:0071555]	hexosyltransferase activity [GO:0016758]	plasma membrane [GO:0005886]
P9WMZ9	glycolipid biosynthetic process [GO:0009247]; phosphatidylinositol metabolic process [GO:0046488]; phospholipid biosynthetic process [GO:0008654]	alpha-1,2-mannosyltransferase activity [GO:0000026]	plasma membrane [GO:0005886]
P9WN01	glycolipid biosynthetic process [GO:0009247]; phosphatidylinositol metabolic process [GO:0046488]; phospholipid biosynthetic process [GO:0008654]	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0004377]; phosphatidylinositol alpha-mannosyltransferase activity [GO:0043750]	plasma membrane [GO:0005886]
P9WN09	glycolipid biosynthetic process [GO:0009247]	hexosyltransferase activity [GO:0016758]; UDP-glycosyltransferase activity [GO:0008194]	plasma membrane [GO:0005886]
P9WN15	carbohydrate metabolic process [GO:0005975]; trehalose biosynthetic process [GO:0005992]	carbohydrate binding [GO:0030246]; glycosyltransferase activity [GO:0016757]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; phosphatase activity [GO:0016791]	extracellular region [GO:0005576]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WN19	L-glutamate biosynthetic process [GO:0097054]	4 iron, 4 sulfur cluster binding [GO:0051539]; glutamate synthase (NADPH) activity [GO:0004355]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WN31	biological process involved in interaction with host [GO:0051701]; regulation of nitrogen utilization [GO:0006808]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; enzyme regulator activity [GO:0030234]	cytosol [GO:0005829]; plasma membrane [GO:0005886]
P9WN33	L-asparagine biosynthetic process [GO:0070981]	asparagine synthase (glutamine-hydrolyzing) activity [GO:0004066]; ATP binding [GO:0005524]	cytosol [GO:0005829]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P9WN35	L-tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]	plasma membrane [GO:0005886]
P9WN41	carbohydrate metabolic process [GO:0005975]; peptidoglycan biosynthetic process [GO:0009252]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	magnesium ion binding [GO:0000287]; phosphoglucosamine mutase activity [GO:0008966]; phosphomannomutase activity [GO:0004615]	cytosol [GO:0005829]
P9WN47	ergothioneine biosynthesis from histidine via gamma-glutamyl-hercynylcysteine sulfoxide [GO:0052704]; methylation [GO:0032259]	L-histidine N(alpha)-methyltransferase activity [GO:0052706]; protein methyltransferase activity [GO:0008276]	plasma membrane [GO:0005886]
P9WN51	glycine decarboxylation via glycine cleavage system [GO:0019464]	aminomethyltransferase activity [GO:0004047]; transaminase activity [GO:0008483]	cytosol [GO:0005829]; glycine cleavage complex [GO:0005960]; peptidoglycan-based cell wall [GO:0009274]
P9WN53	glycine decarboxylation via glycine cleavage system [GO:0019464]	glycine binding [GO:0016594]; glycine dehydrogenase (decarboxylating) activity [GO:0004375]; pyridoxal phosphate binding [GO:0030170]	cytosol [GO:0005829]; glycine cleavage complex [GO:0005960]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]
P9WN57	one-carbon metabolic process [GO:0006730]; tetrahydrobiopterin biosynthetic process [GO:0006729]; tetrahydrofolate biosynthetic process [GO:0046654]	GTP binding [GO:0005525]; GTP cyclohydrolase I activity [GO:0003934]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]
P9WN59	glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; regulation of translational fidelity [GO:0006450]; translation [GO:0006412]	asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]	peptidoglycan-based cell wall [GO:0009274]
P9WN61	glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; translation [GO:0006412]	asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]	plasma membrane [GO:0005886]
P9WN63	galactose metabolic process [GO:0006012]	ATP binding [GO:0005524]; galactokinase activity [GO:0004335]; magnesium ion binding [GO:0000287]	cytosol [GO:0005829]
P9WN67	galactose metabolic process [GO:0006012]	UDP-glucose 4-epimerase activity [GO:0003978]	plasma membrane [GO:0005886]
